Vehicle ID,Frame ID,Total Frames,Global Time,Local X,Local Y,Global X,Global Y,V_Len,V_Width,V_Class,V_Vel,V_Acc,Lane_ID,Pre_Veh,Fol_Veh,Spacing,Headway,US Time,section
2,13,437,1.11885E+12,16.467,35.381,6451137.641,1873344.962,14.5,4.9,2,40,0,2,0,0,0,0,2005-06-15 07:49:40.200000-07:00,1
2,14,437,1.11885E+12,16.447,39.381,6451140.329,1873342,14.5,4.9,2,40,0,2,0,0,0,0,2005-06-15 07:49:40.300000-07:00,1
2,15,437,1.11885E+12,16.426,43.381,6451143.018,1873339.038,14.5,4.9,2,40,0,2,0,0,0,0,2005-06-15 07:49:40.400000-07:00,1
2,16,437,1.11885E+12,16.405,47.38,6451145.706,1873336.077,14.5,4.9,2,40,0,2,0,0,0,0,2005-06-15 07:49:40.500000-07:00,1
2,17,437,1.11885E+12,16.385,51.381,6451148.395,1873333.115,14.5,4.9,2,40,0,2,0,0,0,0,2005-06-15 07:49:40.600000-07:00,1
2,18,437,1.11885E+12,16.364,55.381,6451151.084,1873330.153,14.5,4.9,2,40,0,2,0,0,0,0,2005-06-15 07:49:40.700000-07:00,1
2,19,437,1.11885E+12,16.344,59.381,6451153.772,1873327.192,14.5,4.9,2,40,0,2,0,0,0,0,2005-06-15 07:49:40.800000-07:00,1
2,20,437,1.11885E+12,16.323,63.379,6451156.461,1873324.23,14.5,4.9,2,40.02,0.25,2,0,0,0,0,2005-06-15 07:49:40.900000-07:00,1
2,21,437,1.11885E+12,16.303,67.383,6451159.149,1873321.268,14.5,4.9,2,40.03,0.13,2,0,0,0,0,2005-06-15 07:49:41-07:00,1
2,22,437,1.11885E+12,16.282,71.398,6451161.838,1873318.307,14.5,4.9,2,39.93,-1.63,2,0,13,0,0,2005-06-15 07:49:41.100000-07:00,1
2,23,437,1.11885E+12,16.262,75.401,6451164.546,1873315.323,14.5,4.9,2,39.61,-4.54,2,0,13,0,0,2005-06-15 07:49:41.200000-07:00,1
2,24,437,1.11885E+12,16.254,79.349,6451167.199,1873312.382,14.5,4.9,2,39.14,-5.73,2,0,13,0,0,2005-06-15 07:49:41.300000-07:00,1
2,25,437,1.11885E+12,16.221,83.233,6451169.802,1873309.533,14.5,4.9,2,38.61,-5.15,2,0,13,0,0,2005-06-15 07:49:41.400000-07:00,1
2,26,437,1.11885E+12,16.201,87.043,6451172.358,1873306.719,14.5,4.9,2,38.28,-1.61,2,0,13,0,0,2005-06-15 07:49:41.500000-07:00,1
2,27,437,1.11885E+12,16.169,90.829,6451174.961,1873303.87,14.5,4.9,2,38.42,3.73,2,0,13,0,0,2005-06-15 07:49:41.600000-07:00,1
2,28,437,1.11885E+12,16.204,94.683,6451177.613,1873300.929,14.5,4.9,2,38.78,4.86,2,0,13,0,0,2005-06-15 07:49:41.700000-07:00,1
2,29,437,1.11885E+12,16.252,98.611,6451180.342,1873297.924,14.5,4.9,2,38.92,0,2,0,13,0,0,2005-06-15 07:49:41.800000-07:00,1
2,30,437,1.11885E+12,16.339,102.56,6451182.98,1873294.961,14.5,4.9,2,38.54,-8.59,2,0,13,0,0,2005-06-15 07:49:41.900000-07:00,1
2,31,437,1.11885E+12,16.4,106.385,6451185.537,1873292.122,14.5,4.9,2,37.51,-11.2,2,0,13,0,0,2005-06-15 07:49:42-07:00,1
2,32,437,1.11885E+12,16.43,110.079,6451188.021,1873289.408,14.5,4.9,2,36.34,-10.86,2,0,13,0,0,2005-06-15 07:49:42.100000-07:00,1
2,33,437,1.11885E+12,16.435,113.628,6451190.424,1873286.817,14.5,4.9,2,35.5,-6.2,2,0,13,0,0,2005-06-15 07:49:42.200000-07:00,1
2,34,437,1.11885E+12,16.478,117.118,6451192.757,1873284.247,14.5,4.9,2,35.08,-1.89,2,0,13,0,0,2005-06-15 07:49:42.300000-07:00,1
2,35,437,1.11885E+12,16.52,120.6,6451195.109,1873281.656,14.5,4.9,2,34.96,0.18,2,0,13,0,0,2005-06-15 07:49:42.400000-07:00,1
2,36,437,1.11885E+12,16.562,124.096,6451197.462,1873279.065,14.5,4.9,2,34.98,0.25,2,0,13,0,0,2005-06-15 07:49:42.500000-07:00,1
2,37,437,1.11885E+12,16.605,127.597,6451199.814,1873276.473,14.5,4.9,2,35,0.04,2,0,13,0,0,2005-06-15 07:49:42.600000-07:00,1
2,38,437,1.11885E+12,16.647,131.099,6451202.167,1873273.882,14.5,4.9,2,34.99,-0.2,2,0,13,0,0,2005-06-15 07:49:42.700000-07:00,1
2,39,437,1.11885E+12,16.691,134.595,6451204.519,1873271.29,14.5,4.9,2,34.98,-0.02,2,0,13,0,0,2005-06-15 07:49:42.800000-07:00,1
2,40,437,1.11885E+12,16.727,138.081,6451206.879,1873268.7,14.5,4.9,2,35.1,1.95,2,0,13,0,0,2005-06-15 07:49:42.900000-07:00,1
2,41,437,1.11885E+12,16.796,141.578,6451209.191,1873266.113,14.5,4.9,2,35.49,5.55,2,0,13,0,0,2005-06-15 07:49:43-07:00,1
2,42,437,1.11885E+12,16.795,145.131,6451211.61,1873263.514,14.5,4.9,2,36.2,8.99,2,0,13,0,0,2005-06-15 07:49:43.100000-07:00,1
2,43,437,1.11885E+12,16.724,148.784,6451214.156,1873260.882,14.5,4.9,2,37.15,10.44,2,0,13,0,0,2005-06-15 07:49:43.200000-07:00,1
2,44,437,1.11885E+12,16.588,152.559,6451216.824,1873258.213,14.5,4.9,2,38.12,9.3,2,0,13,0,0,2005-06-15 07:49:43.300000-07:00,1
2,45,437,1.11885E+12,16.376,156.449,6451219.616,1873255.522,14.5,4.9,2,38.76,4.36,2,0,13,0,0,2005-06-15 07:49:43.400000-07:00,1
2,46,437,1.11885E+12,16.064,160.379,6451222.548,1873252.829,14.5,4.9,2,38.95,-0.73,2,0,13,0,0,2005-06-15 07:49:43.500000-07:00,1
2,47,437,1.11885E+12,15.763,164.277,6451225.462,1873250.139,14.5,4.9,2,38.95,-1.15,2,0,13,0,0,2005-06-15 07:49:43.600000-07:00,1
2,48,437,1.11885E+12,15.471,168.15,6451228.376,1873247.45,14.5,4.9,2,38.99,1.9,2,0,13,0,0,2005-06-15 07:49:43.700000-07:00,1
2,49,437,1.11885E+12,15.226,172.044,6451231.29,1873244.76,14.5,4.9,2,39.18,3.47,2,0,13,0,0,2005-06-15 07:49:43.800000-07:00,1
2,50,437,1.11885E+12,14.979,176,6451234.204,1873242.071,14.5,4.9,2,39.34,0.02,2,0,13,0,0,2005-06-15 07:49:43.900000-07:00,1
2,51,437,1.11885E+12,14.72,179.959,6451237.144,1873239.374,14.5,4.9,2,39.2,-3.52,2,0,13,0,0,2005-06-15 07:49:44-07:00,1
2,52,437,1.11885E+12,14.508,183.862,6451239.988,1873236.708,14.5,4.9,2,38.89,-3.28,2,0,13,0,0,2005-06-15 07:49:44.100000-07:00,1
2,53,437,1.11885E+12,14.331,187.716,6451242.77,1873234.057,14.5,4.9,2,38.73,-0.33,2,0,13,0,0,2005-06-15 07:49:44.200000-07:00,1
2,54,437,1.11885E+12,14.24,191.561,6451245.501,1873231.336,14.5,4.9,2,38.88,3.49,2,0,13,0,0,2005-06-15 07:49:44.300000-07:00,1
2,55,437,1.11885E+12,14.309,195.455,6451248.125,1873228.494,14.5,4.9,2,39.28,5,2,0,13,0,0,2005-06-15 07:49:44.400000-07:00,1
2,56,437,1.11885E+12,14.428,199.414,6451250.788,1873225.539,14.5,4.9,2,39.68,3.76,2,0,13,0,0,2005-06-15 07:49:44.500000-07:00,1
2,57,437,1.11885E+12,14.54,203.417,6451253.489,1873222.554,14.5,4.9,2,39.94,1.29,2,0,13,0,0,2005-06-15 07:49:44.600000-07:00,1
2,58,437,1.11885E+12,14.646,207.43,6451256.177,1873219.592,14.5,4.9,2,40.02,-0.22,2,0,13,0,0,2005-06-15 07:49:44.700000-07:00,1
2,59,437,1.11885E+12,14.751,211.431,6451258.866,1873216.63,14.5,4.9,2,40,-0.21,2,0,13,0,0,2005-06-15 07:49:44.800000-07:00,1
2,60,437,1.11885E+12,14.856,215.428,6451261.554,1873213.669,14.5,4.9,2,39.99,0,2,0,13,0,0,2005-06-15 07:49:44.900000-07:00,1
2,61,437,1.11885E+12,14.962,219.427,6451264.243,1873210.707,14.5,4.9,2,39.99,0,2,0,13,0,0,2005-06-15 07:49:45-07:00,1
2,62,437,1.11885E+12,15.067,223.462,6451266.932,1873207.745,14.5,4.9,2,39.65,-5.35,2,0,13,0,0,2005-06-15 07:49:45.100000-07:00,1
2,63,437,1.11885E+12,15.172,227.422,6451269.62,1873204.784,14.5,4.9,2,38.92,-9.43,2,0,13,0,0,2005-06-15 07:49:45.200000-07:00,1
2,64,437,1.11885E+12,15.277,231.231,6451272.309,1873201.822,14.5,4.9,2,38.52,-2.79,2,0,13,0,0,2005-06-15 07:49:45.300000-07:00,1
2,65,437,1.11885E+12,15.449,235.001,6451274.98,1873198.862,14.5,4.9,2,38.8,8.59,2,0,13,0,0,2005-06-15 07:49:45.400000-07:00,1
2,66,437,1.11885E+12,15.64,238.909,6451277.771,1873195.899,14.5,4.9,2,39.72,11.2,2,0,13,0,0,2005-06-15 07:49:45.500000-07:00,1
2,67,437,1.11885E+12,15.807,242.958,6451280.605,1873192.927,14.5,4.9,2,40.76,7.11,2,0,13,0,0,2005-06-15 07:49:45.600000-07:00,1
5,8,452,1.11885E+12,39.788,39.154,6451122.815,1873326.569,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:39.700000-07:00,1
5,9,452,1.11885E+12,39.767,43.153,6451125.503,1873323.608,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:39.800000-07:00,1
5,10,452,1.11885E+12,39.747,47.154,6451128.192,1873320.646,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:39.900000-07:00,1
5,11,452,1.11885E+12,39.726,51.154,6451130.881,1873317.684,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:40-07:00,1
5,12,452,1.11885E+12,39.705,55.153,6451133.569,1873314.723,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:40.100000-07:00,1
5,13,452,1.11885E+12,39.685,59.154,6451136.258,1873311.761,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:40.200000-07:00,1
5,14,452,1.11885E+12,39.665,63.154,6451138.946,1873308.799,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:40.300000-07:00,1
5,15,452,1.11885E+12,39.643,67.154,6451141.635,1873305.838,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:40.400000-07:00,1
5,16,452,1.11885E+12,39.623,71.154,6451144.324,1873302.876,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:40.500000-07:00,1
5,17,452,1.11885E+12,39.603,75.154,6451147.012,1873299.914,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:40.600000-07:00,1
5,18,452,1.11885E+12,39.581,79.153,6451149.701,1873296.953,17,7.9,2,40,0,4,0,0,0,0,2005-06-15 07:49:40.700000-07:00,1
5,19,452,1.11885E+12,39.562,83.194,6451152.389,1873293.991,17,7.9,2,39.63,-5.93,4,0,0,0,0,2005-06-15 07:49:40.800000-07:00,1
5,20,452,1.11885E+12,39.541,87.155,6451155.078,1873291.029,17,7.9,2,38.78,-11.13,4,0,0,0,0,2005-06-15 07:49:40.900000-07:00,1
5,21,452,1.11885E+12,39.52,90.947,6451157.767,1873288.068,17,7.9,2,38.17,-5.35,4,0,0,0,0,2005-06-15 07:49:41-07:00,1
5,22,452,1.11885E+12,39.544,94.675,6451160.455,1873285.106,17,7.9,2,38.17,5.33,4,0,0,0,0,2005-06-15 07:49:41.100000-07:00,1
5,23,452,1.11885E+12,39.592,98.467,6451163.144,1873282.144,17,7.9,2,38.77,11.12,4,0,0,0,0,2005-06-15 07:49:41.200000-07:00,1
5,24,452,1.11885E+12,39.641,102.428,6451165.832,1873279.183,17,7.9,2,39.63,5.94,4,0,0,0,0,2005-06-15 07:49:41.300000-07:00,1
5,25,452,1.11885E+12,39.689,106.466,6451168.521,1873276.221,17,7.9,2,40.01,0.26,4,0,0,0,0,2005-06-15 07:49:41.400000-07:00,1
5,26,452,1.11885E+12,39.739,110.47,6451171.209,1873273.259,17,7.9,2,40.03,0.2,4,0,0,0,0,2005-06-15 07:49:41.500000-07:00,1
5,27,452,1.11885E+12,39.787,114.487,6451173.898,1873270.298,17,7.9,2,39.92,-1.86,4,0,0,0,0,2005-06-15 07:49:41.600000-07:00,1
5,28,452,1.11885E+12,39.836,118.497,6451176.607,1873267.314,17,7.9,2,39.5,-6.19,4,0,0,0,0,2005-06-15 07:49:41.700000-07:00,1
5,29,452,1.11885E+12,39.922,122.448,6451179.245,1873264.351,17,7.9,2,38.66,-10.9,4,0,8,0,0,2005-06-15 07:49:41.800000-07:00,1
5,30,452,1.11885E+12,39.984,126.254,6451181.802,1873261.512,17,7.9,2,37.5,-11.2,4,0,8,0,0,2005-06-15 07:49:41.900000-07:00,1
5,31,452,1.11885E+12,40.013,129.947,6451184.286,1873258.798,17,7.9,2,36.34,-10.89,4,0,8,0,0,2005-06-15 07:49:42-07:00,1
5,32,452,1.11885E+12,40.018,133.496,6451186.689,1873256.208,17,7.9,2,35.5,-6.19,4,0,8,0,0,2005-06-15 07:49:42.100000-07:00,1
5,33,452,1.11885E+12,40.061,136.986,6451189.021,1873253.638,17,7.9,2,35.07,-1.87,4,0,8,0,0,2005-06-15 07:49:42.200000-07:00,1
5,34,452,1.11885E+12,40.103,140.468,6451191.374,1873251.047,17,7.9,2,34.96,0.19,4,0,8,0,0,2005-06-15 07:49:42.300000-07:00,1
5,35,452,1.11885E+12,40.146,143.964,6451193.726,1873248.455,17,7.9,2,34.98,0.27,4,0,8,0,0,2005-06-15 07:49:42.400000-07:00,1
5,36,452,1.11885E+12,40.188,147.465,6451196.079,1873245.864,17,7.9,2,35,0,4,0,8,0,0,2005-06-15 07:49:42.500000-07:00,1
5,37,452,1.11885E+12,40.231,150.965,6451198.431,1873243.272,17,7.9,2,35,0.03,4,0,8,0,0,2005-06-15 07:49:42.600000-07:00,1
5,38,452,1.11885E+12,40.273,154.465,6451200.784,1873240.681,17,7.9,2,35,-0.03,4,0,8,0,0,2005-06-15 07:49:42.700000-07:00,1
5,39,452,1.11885E+12,40.317,157.999,6451203.136,1873238.089,17,7.9,2,34.69,-4.99,4,0,8,0,0,2005-06-15 07:49:42.800000-07:00,1
5,40,452,1.11885E+12,40.353,161.462,6451205.496,1873235.499,17,7.9,2,34.01,-8.82,4,0,8,0,0,2005-06-15 07:49:42.900000-07:00,1
5,41,452,1.11885E+12,40.425,164.789,6451207.82,1873232.895,17,7.9,2,33.58,-3.27,4,0,8,0,0,2005-06-15 07:49:43-07:00,1
5,42,452,1.11885E+12,40.477,168.077,6451210.182,1873230.295,17,7.9,2,33.71,5.96,4,0,8,0,0,2005-06-15 07:49:43.100000-07:00,1
5,43,452,1.11885E+12,40.452,171.432,6451212.65,1873227.751,17,7.9,2,34.38,11.01,4,0,8,0,0,2005-06-15 07:49:43.200000-07:00,1
5,44,452,1.11885E+12,40.315,174.947,6451215.198,1873225.287,17,7.9,2,35.29,7.08,4,0,8,0,0,2005-06-15 07:49:43.300000-07:00,1
5,45,452,1.11885E+12,40.072,178.551,6451217.828,1873222.89,17,7.9,2,35.8,2.2,4,0,8,0,0,2005-06-15 07:49:43.400000-07:00,1
5,46,452,1.11885E+12,39.74,182.146,6451220.57,1873220.506,17,7.9,2,35.98,1.48,4,0,8,0,0,2005-06-15 07:49:43.500000-07:00,1
5,47,452,1.11885E+12,39.435,185.758,6451223.286,1873218.109,17,7.9,2,36.08,0.37,4,0,8,0,0,2005-06-15 07:49:43.600000-07:00,1
5,48,452,1.11885E+12,39.129,189.37,6451226.002,1873215.713,17,7.9,2,36.11,0.13,4,0,8,0,0,2005-06-15 07:49:43.700000-07:00,1
5,49,452,1.11885E+12,38.824,192.985,6451228.718,1873213.316,17,7.9,2,36.09,-0.34,4,0,8,0,0,2005-06-15 07:49:43.800000-07:00,1
5,50,452,1.11885E+12,38.519,196.607,6451231.434,1873210.919,17,7.9,2,35.91,-2.7,4,0,8,0,0,2005-06-15 07:49:43.900000-07:00,1
5,51,452,1.11885E+12,38.206,200.203,6451234.172,1873208.511,17,7.9,2,35.51,-5.42,4,0,8,0,0,2005-06-15 07:49:44-07:00,1
